"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"87","HHEX",36.857056242229,1.86730331003745,0.512591711294423,3.58893545068752,0.000332031032327772,0.0296186773156024
"88","HNMT",709.965741502024,1.45883748349061,0.356843044389104,4.08066692967233,4.49066651911781e-05,0.00635166345496844
"89","HOXC-AS2",51.3678891475847,1.58682803431403,0.49454664439084,3.65907380699235,0.000253128436337063,0.0240855542454054
"90","HOXC10",736.229015789293,0.693993157312929,0.384223647579697,3.54962191763819,0.000385784781570472,0.0332792366519583
"91","ID1",3807.41807924722,-1.50920423207834,0.51736698508871,-3.6779408464181,0.000235124468990928,0.0228968727693247
"92","IL17RE",287.752008169302,-1.63070883112772,0.492340462010382,-3.410172019727,0.00064921917487727,0.0471886159517275
"93","IL18R1",123.339375117727,1.83966100992325,0.517255214801124,3.52438214704768,0.000424471590386208,0.0360227241570998
"94","JAG2",79.5306270667222,1.44213409767768,0.419479276432403,3.4208228324244,0.00062431988700927,0.0462350105002148
"95","KCNN4",107.428406273925,-1.76227941934956,0.510685346703942,-3.64738676641527,0.000264920998517497,0.0249057465672138
"96","KCNT2",53.6515104339823,2.29007664523183,0.513795076238477,4.40970538406729,1.03511346066387e-05,0.00211055601719777
"97","KCTD16",446.252003680071,2.31265241283246,0.518771304809582,4.76617536764569,1.8775585482658e-06,0.000499621511996153
"98","KRT14",62.3666717564331,-1.3831335286486,0.512951228666114,-3.39547806014981,0.000685088643154416,0.0493389527409373
"99","LDHC",48.9770335349646,-2.85381403136168,0.470105118317407,-5.71087182593278,1.12398877053219e-08,8.02119258970697e-06
"100","LHB",44.9007468173642,-1.95525442839906,0.519604900556894,-4.26929616127768,1.96090759099904e-05,0.00334633143246576
"101","LIMCH1",2768.24485712676,2.76445969157553,0.418808415461768,6.56131103325235,5.33367359748132e-11,8.37386754804567e-08
"102","LIMD2",876.466401163849,-1.34296997799789,0.279622044542604,-4.80359678010018,1.55840509548665e-06,0.000431850868600395
"103","LINC01013",84.8411489376201,1.90911023840617,0.472825778972318,3.99919925503152,6.35571550136152e-05,0.00829524352761765
"104","LINC01119",238.730216043513,-1.43148763550536,0.366688461234062,-3.90710906614145,9.34069974679415e-05,0.0112806912326668
"105","LINC01291",195.793264321229,-3.36539950790381,0.495664544911021,-7.08582008589627,1.38223290242038e-12,3.1001509382857e-09
"106","LOC101059948",91.8089046522447,-2.82830526342827,0.507490599811486,-5.7781878226619,7.55094886525817e-09,5.92749485922767e-06
"107","LOC101927057",48.0324004748882,2.02013387585342,0.414796616296507,4.82589870822726,1.39373335103866e-06,0.000405215066876056
"108","LOC112268292",41.259535647077,-1.31029791902956,0.505501318483965,-3.46193826140954,0.000536300164291161,0.0416827355414418
"109","LPAR3",18.2985851493854,-1.9277610169477,0.515200069897963,-3.64382832487059,0.000268612620425939,0.0251024889326622
"110","LRRC37A3",249.038687299684,1.10683617811427,0.210486894669764,5.25761561671161,1.45935146843377e-07,6.73877001600298e-05
"111","LYSMD2",265.907955238531,-1.19082401754293,0.325918257510404,-3.65340198331014,0.000258788603549116,0.0244757896127778
"112","MAFB",799.26878495801,-1.5717187554693,0.40950345729349,-3.85910640537401,0.000113802383218615,0.0126716128832075
"113","MAP2",771.741138369211,2.48075118004833,0.509201141461262,4.85059866812577,1.2308938281277e-06,0.000378922217678528
"114","MBL1P",134.686254620542,1.82677046999052,0.442046537132159,4.10481120516232,4.046452079646e-05,0.00582837593123323
"115","MCAM",3192.06466588114,-1.60726167090111,0.517660446003883,-3.39868505936079,0.000677106375358614,0.0489888022724896
"116","MCHR1",48.85945128687,-1.70509550722089,0.514365341212987,-3.49069234197953,0.000481770688194796,0.039394790649262
"117","MFAP3L",912.83722233143,1.17257986512208,0.335926321216039,3.48670283649922,0.000489014395858054,0.0397799275387122
"118","MGAT5B",142.394730078243,-1.6538094025569,0.51575130105598,-3.4489255871839,0.000562821778786567,0.0435285809209316
"119","MICAL3",2997.17887217665,-0.827572808273599,0.235292144386228,-3.51764664931855,0.000435391699733343,0.0367508047624381
"120","MLPH",671.032668435614,-2.27906877786644,0.472457896377269,-4.97094524769194,6.66272647590416e-07,0.000243266989934175
"121","MOK",1271.94644720414,-1.70031652873966,0.163744525726988,-10.3791397333877,3.08542858259487e-25,4.84412287467395e-21
"122","MSI2",1364.43130096097,-0.788929849164492,0.221024952880525,-3.56944333877736,0.00035774057910996,0.0315535229889122
"123","MYOM1",58.1558030528927,1.65504402828081,0.395984020358186,4.16013915346123,3.1805375363029e-05,0.00475566088761482
"124","NAB2",5088.2870951533,-0.815308772643081,0.19938997546757,-4.08923165796785,4.32804441987655e-05,0.00617729976291472
"125","NCKAP5",176.138202807878,1.46004545695323,0.38968185831551,3.73635356411216,0.000186708096592062,0.0192849810295748
"126","NDRG4",397.340130922104,-1.60675465385671,0.478553786184832,-3.42684455766229,0.000610638513034954,0.0455430554316538
"127","NET1",2378.11427080699,-1.45862925552113,0.410147583079418,-3.57604534942427,0.000348831165170387,0.0309415214303677
"128","NME5",45.4584205297483,1.81199589832901,0.463346495389137,3.87434131042951,0.000106913483847202,0.0121593793575436
"129","NR3C2",100.895387948073,1.84469638907777,0.475322544893426,3.84043456047143,0.000122816709006598,0.0134840722475775
"130","NRK",196.721367279807,4.3888544303942,0.513978981565583,7.82419968505983,5.10896581046188e-15,2.00526908060629e-11
"131","NXPH4",270.881908858555,1.24060821230707,0.311647213874098,3.97749816551493,6.96441599569397e-05,0.00881784928487059
"132","OLR1",183.685396708635,2.52516280946413,0.46747039080636,5.3481582724213,8.88537494774983e-08,4.52500394266217e-05
"133","OMG",48.0324004748882,2.02013387585342,0.414796616296507,4.82589870822726,1.39373335103866e-06,0.000405215066876056
"134","OSBPL10",724.281830045014,1.89046768482141,0.391447052916193,4.81180452119148,1.4957361367707e-06,0.000426964679041818
"135","P2RY12",8.95298938226251,1.28030806348416,0.4633964558715,3.4435832088762,0.00057405991600393,0.0435398100544044
"136","PAFAH1B3",436.372433113594,-1.30492987898681,0.36069508101264,-3.62298151294471,0.000291226644236612,0.0267383527164608
"137","PALM",744.591082107121,2.4813697625125,0.504207066659579,4.8893686664637,1.01159886589845e-06,0.000331171256047018
"138","PALMD",150.37655745668,1.77652298911355,0.383240420418269,4.61763517142804,3.88137852892366e-06,0.000937502198524637
"139","PAPPA2",311.467529465216,2.4451081899095,0.471826519319282,5.13296948531889,2.85206161556073e-07,0.000121019911795415
"140","PCDH1",33.5690047881506,-1.83866741890999,0.466141079359017,-3.89047146476117,0.000100049642381048,0.0116354028546848
"141","PCSK1N",37.4228222219304,2.46975643696989,0.502264864412892,4.80238531406842,1.5678662108422e-06,0.000431850868600395
"142","PEG10",2123.63942736619,-1.56309865838687,0.454646696990079,-3.48322995021254,0.000495402644653035,0.0400918635105807
"143","PERP",5100.68721597048,1.32247684925819,0.339210955199774,3.89340614283856,9.88464564995805e-05,0.0116266841620065
"144","PHLDB3",501.097705703704,1.0178299348406,0.264695531134378,3.84403892515945,0.000121025796434494,0.0133810211550814
"145","PI4KAP2",584.829597685283,-0.765489177924997,0.174465305347585,-4.38665343459174,1.15107974681679e-05,0.00228758886392704
"146","PINLYP",105.119883292249,-2.56032770189801,0.470085312482579,-5.48710998799118,4.08562763556483e-08,2.37571681030992e-05
