"","SYMBOL","HH07","HH17","HH18","HH19","HH27"
"3624","DUSP3",7087,5532,6379,3774,3875
"3625","CACNG1",0,0,0,0,0
"3626","EFTUD2",6829,3800,4214,3134,4524
"3627","HLF",0,4,0,0,0
"3628","SLC16A6",2,0,62,2,2
"3629","PRKAR1A",17162,16547,17112,14984,11434
"3630","EFNB3",287,543,58,210,445
"3631","FAM20A",263,977,1317,1438,6
"3632","YWHAE",42863,27077,25853,23348,28983
"3634","MMD",612,344,348,311,319
"3635","RANGRF",100,50,28,32,49
"3636","DPH1",2245,1937,2021,1494,1795
"3637","MAP2K6",158,1098,67,462,221
"3638","DHRS7B",930,1842,1640,1109,634
"3639","WSB1",7801,11730,7377,9422,7267
"3640","RCVRN",2,2,0,0,0
"3641","MYH1",0,6,2,0,0
"3642","SLC9A3R1",1680,880,544,1019,1653
"3643","MYH3",46,90,64,41,73
"3644","NAT9",2793,3162,3363,2931,2826
"3645","TMEM104",4047,1706,2649,1695,2160
"3646","VTN",14,69,26,2,10
"3647","TNFAIP1",4413,4678,4457,3073,3937
"3648","IFT20",1101,1978,2022,1500,1843
"3649","TMEM97",1769,916,934,741,594
"3650","CDR2L",4727,2444,3001,2307,4023
"3651","PMP22",6658,12629,7231,8526,3940
"3652","FOXN1",0,0,0,0,0
"3653","UNC119",1248,1413,1302,1016,870
"3654","ALDOC",482,661,497,757,611
"3655","SUPT6H",11046,10955,11055,8699,8233
"3656","RAB34",10973,9001,7980,7490,9121
"3657","PHF12",2309,1914,1856,1462,2051
"3658","PHOX2B",0,0,0,0,0
"3659","TMEM33",3234,3017,2786,2287,2508
"3660","GABRA4",0,0,0,0,0
"3661","GNRHR",5,11,12,3,4
"3662","SLAIN2",5387,3641,3086,2624,4347
"3663","OCIAD1",6261,5786,6093,5127,5573
"3664","UGT2B10",0,0,0,0,0
"3665","CWH43",0,0,0,0,0
"3666","DCUN1D4",2867,3299,2899,2418,2186
"3667","USP46",1818,1507,1397,1178,1172
"3668","SULT1E1",0,2,0,0,0
"3669","ODAM",0,0,0,0,0
"3670","SMR3A",0,0,0,0,0
"3671","CHIC2",1327,1735,1293,1128,1291
"3672","NMU",2,2,0,0,0
"3673","CRACD",6,63,71,2,43
"3674","LAMTOR3",2274,3022,2354,2412,2138
"3675","PF4V1",8,29,0,12,0
"3676","NFKB1",3764,4830,3423,3104,3107
"3677","AREG",6,0,0,0,6
"3678","MANBA",1439,3038,3579,2425,2256
"3679","UBE2D3",20606,19477,17948,15675,18050
"3680","MAPK10",80,73,94,77,44
"3681","ELF2",1775,1819,1289,1426,1431
"3682","NDUFC1",1737,1863,1696,1470,1371
"3683","UCP1",0,0,0,0,0
"3684","TBC1D9",2734,2160,2236,1543,2585
"3685","ZNF330",2840,2665,2811,2419,2052
"3686","INPP4B",1610,4352,2478,2846,1603
"3687","GAB1",880,1253,863,981,618
"3688","KLHL2",1311,1512,1027,887,993
"3689","IL2",0,0,0,0,0
"3690","CPE",1022,4950,5984,2315,837
"3691","RPL34",20084,26358,24822,25846,23684
"3692","WFS1",2922,3630,4470,1981,2419
"3693","ANXA10",1,6,36,4,11
"3694","GRPEL1",2620,2157,2163,1680,2332
"3695","GAR1",3196,2011,2159,1828,2781
"3696","FRG1",1953,1329,1439,1335,1415
"3697","CLCN3",4608,5847,4839,3913,4779
"3698","AADAT",1138,620,750,617,930
"3699","GALNT7",1250,1203,1250,847,1083
"3700","DHX15",13347,8537,7554,7175,8912
"3701","SOD3",2999,9513,2177,3464,582
"3702","SEPSECS",918,670,506,607,483
"3703","CPZ",3,192,25,94,11
"3704","TRIM2",5766,4128,3412,5351,2388
"3705","SLC2A9",61,284,42,138,22
"3706","FBXW7",1631,1344,1461,1214,1066
"3707","NEIL3",1192,262,143,164,208
"3708","TBC1D19",732,737,692,550,739
"3709","CLNK",0,0,0,0,0
"3710","NSD2",20369,4824,3415,4267,6581
"3711","SH3D19",4503,6324,3944,4198,4578
"3712","STIM2",1542,819,697,740,572
"3713","NKX3-2",12,42,10,30,0
"3714","MFSD10",3735,3898,3262,2945,3472
"3715","GLRB",427,712,911,600,662
"3716","BST1",1987,2697,1941,2435,1890
"3717","RAPGEF2",2790,3181,2648,2221,2486
"3718","HGFAC",34,4,0,5,8
"3719","SNX25",1818,1213,1717,1281,1189
"3720","LRP2BP",117,95,117,38,91
"3721","UFSP2",1248,1057,987,983,1313
"3722","KLF3",4177,3171,2034,3326,3445
"3723","KLHL5",2442,2534,2609,2182,4031
"3724","FAM149A",313,511,81,175,38
"3725","NCAPG",4975,676,606,786,1225
"3726","UGDH",11717,8003,7474,5075,10305
"3727","PPARGC1A",59,108,187,112,4
"3728","DDX25",2,0,0,0,2
"3729","CRYAB",14906,5879,8932,5768,3906
"3730","DBX1",0,0,0,0,0
"3731","HTATIP2",1842,1972,2324,2384,1185
"3732","CTSC",3356,6453,1969,4839,3436
"3733","CCDC34",2557,664,673,613,1104
"3734","ZBTB16",2,0,0,0,0
"3735","ELP4",633,495,470,376,459
