"","gene","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"82","ENSG00000145390","USP53",8201.24246050794,1.67298444720085,0.369234666443413,4.52406536304176,6.06629763709627e-06,0.00166839148961298
"83","ENSG00000145824","CXCL14",81.8894721592281,-2.52102688710718,0.538175903260912,-4.76731201473881,1.86700058435473e-06,0.000709528112985138
"84","ENSG00000147573","TRIM55",633.175218300541,-2.71664535049859,0.574758336055981,-6.76393045263924,1.34297569580765e-11,2.73360640668239e-08
"85","ENSG00000148803","FUOM",446.586424337209,-1.91887576143,0.421623490074841,-4.56520385038468,4.99009197815677e-06,0.00146905496517511
"86","ENSG00000150540","HNMT",707.431463960676,1.49762072937907,0.365087236332732,4.0967294680361,4.19028111193584e-05,0.00842152902289206
"87","ENSG00000151623","NR3C2",100.70922379617,1.98256048101011,0.493856407254972,3.98098255584576,6.86309863449584e-05,0.012072192117642
"88","ENSG00000152804","HHEX",36.7431875065846,2.10402508304656,0.546859291609728,3.78771719382876,0.000152037762733262,0.0211981110252346
"89","ENSG00000154451","GBP5",168.87891403592,-2.60256248311652,0.570053842960078,-5.28015008093037,1.29078113264729e-07,6.58046517916919e-05
"90","ENSG00000156453","PCDH1",33.5294644858856,-1.93897455082727,0.496634329605356,-3.84610295255716,0.000120011352887694,0.0179176949861326
"91","ENSG00000156535","CD109",27604.4614650046,-0.758244236832096,0.207483544675482,-3.65469048904514,0.000257492424122559,0.031846784905383
"92","ENSG00000157557","ETS2",2018.87803064472,-1.91878365974052,0.395203871324993,-4.86990309967898,1.11652989090856e-06,0.0004488020726879
"93","ENSG00000162105","SHANK2",136.319568955261,2.93507833602983,0.498143362705645,5.81581745727207,6.03382839158334e-09,4.8507338861875e-06
"94","ENSG00000162551","ALPL",89.4860139627922,2.00906584784286,0.577038339334435,3.50678413390348,0.000453556925376581,0.0497761862465723
"95","ENSG00000162643","WDR63",123.848926010212,1.47346802757196,0.363153176683355,4.05152319053061,5.08852814585424e-05,0.0095820193968149
"96","ENSG00000162687","KCNT2",53.5431842872133,2.60103747555261,0.549763992886178,4.65478249670701,3.24322888756085e-06,0.00109602598903835
"97","ENSG00000163618","CADPS",454.351499570897,-2.37962964123966,0.553946261048663,-4.60551848819673,4.11439427504623e-06,0.00125578210320819
"98","ENSG00000163701","IL17RE",288.123097388108,-1.81970821069935,0.514475326685076,-3.59666467450801,0.000322323560608074,0.0384983260790283
"99","ENSG00000163814","CDCP1",276.784734996038,-1.42515900548584,0.350314669588707,-4.0679555878801,4.74274177261023e-05,0.00917896190102769
"100","ENSG00000164106","SCRG1",268.733410762279,2.26319548455562,0.486005452796326,4.62436431555548,3.7574894977817e-06,0.00117222455944228
"101","ENSG00000164929","BAALC",1950.22803449592,-1.67345921546606,0.412284018563961,-4.07297311950793,4.64167832423139e-05,0.00906732339561537
"102","ENSG00000165084","C8orf34",179.776729163846,2.11768810436647,0.412889242126113,5.10993135115521,3.2227589124326e-07,0.00014332363146312
"103","ENSG00000165092","ALDH1A1",439.581386967715,2.86814767896038,0.50087515291701,5.67649367087564,1.37483639645032e-08,9.53034544289255e-06
"104","ENSG00000165113","GKAP1",25.0029820299641,1.83024137543102,0.511200976546413,3.53267317193935,0.000411380700075677,0.0462294591020527
"105","ENSG00000165804","ZNF219",1567.45945749337,1.15545641033169,0.304534794867313,3.79244882702919,0.000149168996053827,0.0210670969967372
