	HH07	HH17	HH18	HH19	HH27
TSPAN11	160.5732755254	243.161622928652	158.164197712729	264.517816769325	57.1272495512891
TSPAN12	96.3439653152398	136.836198454147	69.2614460572081	28.4682852128422	96.2699946142094
TSPAN13	1070.48850350266	483.549539131883	583.036650392021	655.956738445905	585.025351886349
TSPAN14	1958.17050871487	1272.20681806017	2064.40459367529	1684.37354175983	2837.32006104736
TSPAN15	54.3478778701352	1.84913781694793	7.23627048358891	2.37235710107018	53.9535134651064
TSPAN16	0	0.924568908473963	0	2.37235710107018	0
TSPAN17	4363.47583081586	4310.34025130562	4914.4614112831	4068.59242833536	4232.70602693903
TSPAN18	1305.99597427325	486.323245857305	35.1475994917176	926.405447967905	6989.62477380309
TSPAN18-AS1	0	0	0	1.18617855053509	2.11582405745515
TSPAN19	0	0	4.13501170490795	0	0
TSPAN2	235.507470770586	109.099131199928	125.084104073465	170.809711277053	38.0848330341927
TSPAN3	8859.52754552705	16216.0140857248	15091.7589699878	12419.2894241024	8431.55886895878
TSPAN31	1123.1894759828	1274.9805247856	998.60532673527	1309.54111979074	1154.18202334178
TSPAN32	27.1739389350676	21.2650848949012	28.9450819343556	45.0747849203334	24.3319766607342
TSPAN33	14.8221485100369	11.0948269016876	14.4725409671778	0	10.5791202872758
TSPAN4	9925.8987855547	8966.4692743805	8800.33866097034	11814.3383633295	10884.856863578
TSPAN5	3662.71758736911	3262.80367800462	4324.18849040749	3997.42171530325	4212.60569839321
TSPAN6	1124.0129286778	1724.32101430394	1681.91601097131	1877.72064549705	1614.37375583828
TSPAN7	0	0	0	4.74471420214036	2.11582405745515
TSPAN8	1.6469053900041	4.62284454236982	42.3838699753065	2.37235710107018	0
TSPAN9	988.966686697461	1888.89428001231	2187.4211918963	2514.69852713439	2061.87054399005
TSPEAR	0	0	1.03375292622699	0	0
TSPEAR-AS1	9.05797964502254	3.69827563389585	0	2.37235710107018	0
TSPO	14193.8541037503	10818.3807980538	14625.5364002594	15565.0349401214	14511.3792980562
TSPO2	0	0	0	0	1.05791202872758
TSPOAP1	465.250772676158	72.1163748609691	35.1475994917176	531.40799063972	372.385034112107
TSPOAP1-AS1	37.0553712750922	8.32112017626567	11.3712821884969	66.425998829965	21.1582405745515
TSPY1	0	0	0	0	0
TSPY10	0	0	0	0	0
TSPY2	0	0	0	0	0
TSPY26P	508.070312816264	560.288758535222	498.268910441408	517.173848033299	342.763497307735
TSPY3	0	0	0	0	0
TSPY4	0	0	0	0	0
