Geneid	HH07	HH17	HH18	HH19	HH27
ENSG00000279804.2	0	0	0	0	0
ENSG00000250894.1	0	0	0	0	0
ENSG00000270601.4	0	0	0	0	0
ENSG00000231219.1	0	0	0	0	0
ENSG00000207511.1	0	0	0	0	0
ENSG00000182330.10	0	0	0	0	0
ENSG00000237700.2	0	0	0	0	0
ENSG00000204501.7	0	0	0	0	0
ENSG00000228229.2	0	0	0	0	0
ENSG00000204481.7	0	0	0	0	0
ENSG00000204480.8	0	0	0	0	0
ENSG00000204479.4	0	0	0	0	0
ENSG00000204478.9	0	0	0	0	0
ENSG00000162494.5	0	0	0	0	0
ENSG00000259961.1	0	0	0	0	0
ENSG00000215909.3	0	0	0	0	0
ENSG00000162493.16	20	2522	26	2027	25
ENSG00000222952.1	0	0	0	0	0
ENSG00000237445.2	0	0	0	0	0
ENSG00000253085.1	0	2	0	0	0
ENSG00000116731.22	3469	5137	2725	4059	3455
ENSG00000189337.16	2703	3125	1763	1552	1494
ENSG00000252151.1	0	0	0	0	0
ENSG00000231606.1	0	0	0	0	0
ENSG00000234593.2	0	0	2	0	0
ENSG00000235829.1	0	0	0	0	0
ENSG00000175147.12	1	0	0	0	0
ENSG00000171729.13	212	46	70	58	36
ENSG00000204464.7	0	0	0	0	0
ENSG00000215720.4	0	0	0	0	0
ENSG00000278480.1	0	0	0	0	0
ENSG00000142621.19	70	16	253	13	106
ENSG00000233485.1	1	0	0	0	1
ENSG00000236045.1	6	0	7	0	5
ENSG00000228140.1	0	2	6	0	2
ENSG00000142634.12	7429	3235	3527	2666	3012
ENSG00000162438.11	1	0	0	1	0
ENSG00000142615.7	0	0	0	0	0
ENSG00000215704.9	0	0	0	0	1
ENSG00000132906.17	355	596	621	415	375
ENSG00000116138.12	1475	1843	1710	1245	1077
ENSG00000251866.1	0	0	0	0	0
ENSG00000272510.1	2	1	0	0	0
ENSG00000116771.5	121	80	119	140	80
ENSG00000237301.1	12	14	9	16	6
ENSG00000235084.3	24	21	18	16	17
ENSG00000252417.1	0	0	0	0	0
ENSG00000236500.1	0	0	0	0	0
ENSG00000197312.11	1839	2107	1546	1642	1708
ENSG00000215695.1	0	0	0	0	0
ENSG00000271742.1	0	1	0	2	0
ENSG00000116786.12	7668	8002	7789	6564	5106
ENSG00000237938.5	33	62	31	50	35
ENSG00000162461.7	51	49	74	58	36
ENSG00000224459.1	0	4	0	2	0
ENSG00000162460.6	0	1	0	0	0
ENSG00000162458.12	7723	4812	7358	4177	6482
ENSG00000224321.1	13	8	4	12	2
ENSG00000233954.6	80	48	94	76	148
ENSG00000178715.8	14	28	164	38	116
ENSG00000179743.4	298	243	165	144	121
ENSG00000065526.10	6505	4992	3947	3298	5395
ENSG00000270620.1	0	0	0	0	0
ENSG00000116809.11	2279	1456	1353	1137	1558
ENSG00000234607.2	0	0	0	0	0
ENSG00000231353.1	0	0	0	0	0
ENSG00000275503.1	0	0	0	0	0
ENSG00000224966.4	0	0	0	0	0
ENSG00000183888.4	0	0	0	0	0
ENSG00000233078.1	0	0	0	0	0
ENSG00000173641.17	18719	13418	23101	15090	4420
ENSG00000186510.11	27	20	28	42	2
ENSG00000232456.1	0	0	2	1	0
ENSG00000184908.17	32	63	12	2	4
ENSG00000185519.8	84	27	8	37	32
